July,,,,
18th,Saturday,"Octaviation White, Green, and Gold sing @ Bastille Day in downtown Montgomery",Student Call Time 2:30 | 5:00-6:30pm Performance,"Corner of Montgomery Rd. and Cooper Rd., Montgomery, OH 45242"
,,,,
August,,,,
7th,Friday,Aves Choir @ Foreigner Rehearsal,2p-3p (max),Choir Room
7th,Friday,Summer Bash @ Swaim Park,5p-8p,"Swaim Park, Large Shelter"
8th,Saturday,Aves Choir @ Foreigner,Call time to SHS choir room is 3p | Return ~11:30p,Report to HS | Travel by Sycamore bus to Riverbend
14th,Friday,Student Info Form Due,11:59 PM,Canvas Course
18th,Tuesday,"Octas Begin (White, Green) | Theatre Auditions (Octaviations report to Octaviation | No Conflict)",5-6:30 (White) | 6:30-8 (Green),Choir Room
21st,Friday,Select & Belle (only) Summermusik Rehearsal,2:30p-5:00p,Choir Room
23rd,Sunday,Select and Belle Voci (only) @ Summermusik,"2:00 Student Call Time 
2:30-3:00 Dress Rehearsal
4:00-5:30 Concert","Good Shepherd Lutheran Church
7701 Kenwood Road 
Across from Kenwood Towne Center"
24th,Monday,Sycamore Vocal Boosters Association Meeting,6:00 PM,Choir Room
24th,Monday,All-Choral-Parent Meeting,7:15 PM,Choir Room
25th,Tuesday,Program Book Ads Due by 3:00p by upload to www.aveschoir.org,Online Payment,www.aveschoir.org
"26th, 27th",Weds. & Thursday,All Ensembles Vocal Assessments,In Class & Aves Bell,Choir Room
,,,,
September,,,,
4th,Friday,Choir Fees Due,11:59 PM,"
http://www.aveschoir.org/Choir-Supplies-Fee"
21st,Monday,Sycamore Vocal Boosters Association Meeting,6:00 PM,Choir Room
,,,,
October,,,,
13th,Tuesday,Fall Theatre Show Students report to Octaviation,,
20th,Tuesday,Fall Theatre Show Students excused from Octaviation,,
22th-24th,Thursday-Saturday,Fall Theatre Show,,
26th,Monday,PD Day: Fall Show Strike | Risers to Stage: Student Leadership Team or Strike Team,During the work day,Auditorium
26th,Monday,Sycamore Vocal Boosters Association Meeting,6:00 PM,Choir Room
27th,Tuesday,Setup for Fall Concert,During Classes,Auditorium
28th & 29th,Wednesday & Thursday,Required Aves Bell Rehearsals,Aves Bell,Auditorium
28th,Wednesday,Fall Concert Dress Rehearsal,2:30 PM - 5:30 PM,Auditorium
29th,Thursday,Fall Concert,5:00 PM Call for students | 6:30 PM Doors | 7:00 PM Start,Auditorium
29th,Thursday,Pumpkin Carving!,5th Bell (Field Trip),Back Gym
30th,Friday,Choirs Strike Stage,During Class,Auditorium
,,,,
November,,,,
2nd,Monday,VSAE Signups Open,,Canvas
13th-14th,Friday & Saturday,Kettering AcaFest: OctaWhite and OctaGold,,"Kettering-Fairmont High School, Kettering, Ohio"
16th,Monday,Sycamore Vocal Boosters Association Meeting,6:00 PM,Choir Room
